技能ID,技能名称,是否预先统计目标数,是否主动,能否连击,能否被反击,是否禁止防御和保护,是否忽略隐身,是否默认自动技能,战斗内外使用,服务器分类,技能归类,选择目标类型,先发速度,消耗Hp,消耗Mp,消耗Sp,消耗Ep,串联子技能ID,子技能ID播放时间调控,下一技能id,对应书籍,升级所需经验,提供基础经验,技能等级,技能标示,能否被摘除,适用范围,能否法术认证,法术认证附加技能,脚本配置文件,技能名冒字资源,是否显示技能名冒字,是否被嘲讽影响,技能特殊延长时间,是否PVP不能使用,状态过滤是否能使用
206001,必杀,,false,false,false,0,,,false,1,10,1,0,,,,,2060010,0,0,311001,0,0,1,1,,14,0,1,,,1,,,,
206002,连击,,false,false,false,0,,,false,1,10,1,0,,,,,2060020,0,0,311002,0,0,1,2,,14,0,1,,,1,,,,
206003,强力,,false,false,false,0,,,false,1,10,1,0,,,,,2060030,0,0,311003,0,0,1,3,,14,0,1,,,1,,,,
206004,突进,,false,false,false,0,,,false,1,10,1,0,,,,,2060040,0,0,311004,0,0,1,4,,14,0,1,,,1,,,,
206005,偷袭,,false,false,false,0,,,false,1,10,1,0,,,,,2060050,0,0,311005,0,0,1,5,,14,0,1,,,1,,,,
206006,法术暴击,,false,false,false,0,,,false,1,10,1,0,,,,,2060060,0,0,311006,0,0,1,6,,14,0,1,,,1,,,,
206007,法术连击,,false,false,false,0,,,false,1,10,1,0,,,,,2060070,0,0,311007,0,0,1,7,,14,0,1,,,1,,,,
206008,法术波动,,false,false,false,0,,,false,1,10,1,0,,,,,2060080,0,0,311008,0,0,1,8,,14,0,1,,,1,,,,
206009,魔之心,,false,false,false,0,,,false,1,10,1,0,,,,,2060090,0,0,311009,0,0,1,9,,14,0,1,,,1,,,,
206010,会心,,false,false,false,0,,,false,1,10,1,0,,,,,2060100,0,0,311010,0,0,1,10,,14,0,1,,,1,,,,
206011,冥思,,false,false,false,0,,,false,1,10,1,0,,,,,2060110,0,0,311011,0,0,1,11,,14,0,1,,,1,,,,
206012,吸血,,false,false,false,0,,,false,1,10,1,0,,,,,2060120,0,0,311012,0,0,1,12,,14,0,1,,,1,,,,
206013,再生,,false,false,false,0,,,false,1,10,1,0,,,,,2060130,0,0,311013,0,0,1,13,,14,0,1,,,1,,,,
206014,神佑复生,,false,false,false,0,,,false,1,10,1,0,,,,,2060140,0,0,311014,0,0,1,14,,14,0,1,,,1,,,,
206015,招架,,false,false,false,0,,,false,1,10,1,0,,,,,2060150,0,0,311015,0,0,1,15,,14,0,1,,,1,,,,
206016,反震,,false,false,false,0,,,false,1,10,1,0,,,,,2060160,0,0,311016,0,0,1,16,,14,0,1,,,1,,,,
206017,神迹,,false,false,false,0,,,false,1,10,1,0,,,,,2060170,0,0,311017,0,0,1,17,,14,0,1,,,1,,,,
