技能id,技能名称,产出级别,产出级别2,装备打造,练功区,降服灵兽,魔法入口,图标编号,主动被动,消耗显示,消耗数量,消耗属性编号,技能描述,目标类型,是否付魔大法显示,附魔大法需求道具id,附魔大法需求道具数量,经脉值
420001,气疗术,0,150,0,0,0,0,233,2,消耗：$parameter1$愤怒,30,120,"<T t=""回复己方单体3%+200点生命。""></T>",4127,1,340160,10,
420002,心疗术,0,150,0,0,0,0,234,2,消耗：$parameter1$愤怒,60,120,"<T t=""回复己方单体6%+400点生命。""></T>",4127,1,340160,10,
420003,命疗术,0,150,0,0,0,0,235,2,消耗：$parameter1$愤怒,90,120,"<T t=""回复己方单体9%+600点生命。""></T>",4127,1,340160,10,
420004,凝气决,0,150,0,0,0,0,209,2,消耗：$parameter1$愤怒,60,120,"<T t=""回复自身10%+150点魔法。""></T>",1,1,340160,10,
420005,凝神决,0,150,0,0,0,0,210,2,消耗：$parameter1$愤怒,90,120,"<T t=""回复自身15%+250点魔法。""></T>",1,1,340160,10,
420006,气归术,0,150,0,0,0,0,236,2,消耗：$parameter1$愤怒,60,120,"<T t=""回复自身25%生命，不超过角色等级*12。""></T>",1,1,340160,10,
420007,命归术,0,150,0,0,0,0,237,2,消耗：$parameter1$愤怒,130,120,"<T t=""回复自身50%生命，不超过角色等级*20。""></T>",1,1,340160,10,
420008,四海升平,0,150,0,0,0,0,238,2,消耗：$parameter1$愤怒,135,120,"<T t=""回复己方全体25%生命，不超过被回复者等级*12。""></T>",4127,1,340160,10,
420009,回魂咒,0,150,0,0,0,0,239,2,消耗：$parameter1$愤怒,100,120,"<T t=""复活己方死亡队员，回复150点生命。""></T>",4127,1,340160,10,
420010,起死回生,0,150,0,0,0,0,240,2,消耗：$parameter1$愤怒,100,120,"<T t=""复活己方死亡队员，回复50%生命，不超过被回复者等级*20。""></T>",4127,1,340160,10,
420011,慈航普度,0,150,0,0,0,0,241,2,消耗：$parameter1$愤怒,150,120,"<T t=""复活己方全体死亡队员，完全回复其生命，使用者生命变为上限的10%，损失全部魔法。""></T>",4127,1,340160,10,
420012,水清诀,0,150,0,0,0,0,211,2,消耗：$parameter1$愤怒,50,120,"<T t=""解除己方单体的异常状态。""></T>",4127,1,340160,10,
420013,冰清诀,0,150,0,0,0,0,212,2,消耗：$parameter1$愤怒,100,120,"<T t=""解除己方单体的异常状态，并回复其25%生命，不超过被回复者等级*12。""></T>",4127,1,340160,10,
420014,玉清诀,0,150,0,0,0,0,213,2,消耗：$parameter1$愤怒,125,120,"<T t=""解除己方全体的异常状态。""></T>",4127,1,340160,10,
420015,晶清诀,0,150,0,0,0,0,214,2,消耗：$parameter1$愤怒,150,120,"<T t=""解除己方全体的异常状态，并恢复其15%生命，不超过被回复者等级*12。""></T>",4127,1,340160,10,
420016,笑里藏刀,0,150,0,0,0,0,215,2,消耗：$parameter1$愤怒,40,120,"<T t=""减少敌方单体目标70点愤怒。""></T>",480,1,340160,10,
420017,野兽之力,0,150,0,0,0,0,216,2,消耗：$parameter1$愤怒,40,120,"<T t=""提高己方单体10%物理攻击，持续到战斗结束，同类状态不叠加。""></T>",4127,1,340160,10,
