id,职业组,AI组,AI编号,连击点数参数,技能等级,技能ID,描述,是否默认勾选
1,11,1,12011,,0,110001,自动对boss使用翩鸿一击,1
2,11,2,12012,,30,110005,自动对boss使用杀气诀,0
3,11,3,12013,,10,110003,自动对boss使用横扫千军,1
4,12,4,12021,,10,120003,自动对boss使用催眠符,0
5,12,5,12022,,20,120004,自动使用离魂符,0
6,12,6,12023,,0,120002,自动对boss使用定身符,0
7,12,7,12024,,30,120005,首回合自动使用失心符,0
8,13,8,12031,,10,130003,首回合自动使用魔息术,0
9,13,9,12032,,30,130005,自动对boss使用精准打击,0
10,13,10,12033,,20,130004,魔法值低于10%时自动使用象形,0
11,14,11,12041,,20,140004,自动对精英怪使用修罗隐身,1
12,14,12,12042,,30,140005,敌方有隐身单位时自动使用幽冥鬼眼,1
13,15,14,12051,,10,150003,自动对精英怪使用逆鳞,1
14,15,15,12052,,30,150005,自动释放清心,0
15,16,16,12061,,20,160004,首回合自动使用灵动九天,1
16,16,17,12062,,10,160003,自动复活死亡单位,1
17,16,18,12063,,0,160002,自动使用普度众生,0
18,16,19,12064,,30,160005,自动使用微风拂柳,0
19,17,20,12071,,20,161004,首回合自动使用先祖印记,1
20,18,21,12081,,30,162005,自动对精英怪使用月凝,0
21,18,22,12101,0,10,162003,$parameter1$个连击点以上对boss使用剔骨,0
22,18,22,12002,1,10,162003,$parameter1$个连击点以上对boss使用剔骨,0
23,18,22,12003,2,10,162003,$parameter1$个连击点以上对boss使用剔骨,0
24,18,22,12004,3,10,162003,$parameter1$个连击点以上对boss使用剔骨,1
25,18,22,12005,4,10,162003,$parameter1$个连击点以上对boss使用剔骨,0
26,18,22,12006,5,10,162003,$parameter1$个连击点以上对boss使用剔骨,0
27,18,23,12083,,0,162002,自动对boss使用穿刺影袭,1
28,18,24,12111,0,10,162003,$parameter1$个连击点以上自动使用剔骨,0
29,18,24,12112,1,10,162003,$parameter1$个连击点以上自动使用剔骨,0
30,18,24,12113,2,10,162003,$parameter1$个连击点以上自动使用剔骨,0
31,18,24,12114,3,10,162003,$parameter1$个连击点以上自动使用剔骨,1
32,18,24,12115,4,10,162003,$parameter1$个连击点以上自动使用剔骨,0
33,18,24,12116,5,10,162003,$parameter1$个连击点以上自动使用剔骨,0
34,19,25,12091,,0,163002,自动对精英怪使用舍生取义,1
35,19,26,12092,,10,163003,自动使用推气过宫,1
36,20,27,12117,,0,164001,日月乾坤,1
37,20,28,12118,,0,164002,炼气化神,1
38,20,29,12119,,0,164003,生命之泉,1
39,20,30,12120,,0,164004,烟雨剑法,1
40,20,31,12121,,0,164005,飘渺式,1
41,20,32,12122,,0,164006,乾坤妙法,1
42,20,33,12123,,0,165001,飞花摘叶,1
43,20,34,12124,,0,165002,一笑倾城,1
44,20,35,12125,,0,165003,观心镜,1
45,20,36,12126,,0,165004,唤花灵,1
46,20,37,12127,,0,165005,递花魂,1
47,20,38,12128,,0,165006,轻如鸿毛,1
48,21,39,12129,,0,166001,雷音度厄,1
49,21,40,12130,,0,166002,斩业火,1
50,21,41,12131,,0,166003,迷心障,1
51,21,42,12132,,0,166004,一念成佛,1
52,21,43,12133,,0,166005,一劫为魔,1
53,21,44,12134,,0,166006,天魔护体,1
54,23,45,12135,,0,167001,雷霆万钧,1
55,23,46,12136,,0,167002,天雷斩,1
56,23,47,12137,,0,167003,错乱,1
57,23,48,12138,,0,167004,百万神兵,1
58,23,49,12139,,0,167005,五雷轰顶,1
59,23,50,12140,,0,167006,天罡气,1
60,22,51,12141,,0,168001,当头一棒,1
61,22,52,12142,,0,168002,泼天乱棍,1
62,22,53,12143,,0,168003,筋斗云,1
63,22,54,12144,,0,168004,乾坤一掷,1
64,22,55,12145,,0,168005,千变万化,1
65,22,56,12146,,0,168006,铜头铁臂,1
66,23,57,12147,,0,169001,击水三千,1
67,23,58,12148,,0,169002,扶摇直上,1
68,23,59,12149,,0,169003,飞流吟,1
69,23,60,12150,,0,169004,朔风斩,1
70,23,61,12151,,0,169005,刹那须弥,1
71,23,62,12152,,0,169006,鸣潮,1
