22/07/2026 20:25:22 (Std) 	
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	* Important:                                                                   *
22/07/2026 20:25:22 (Std) 	*     To get support at the CEGUI forums, you must post _at least_ the section *
22/07/2026 20:25:22 (Std) 	*     of this log file indicated below.  Failure to do this will result in no  *
22/07/2026 20:25:22 (Std) 	*     support being given; please do not waste our time.                       *
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	* -------- START OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM       -------- *
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	---- Version 0.7.1 (Build: Jul 21 2026 Microsoft Windows MSVC++ Great Scott! 32 bit) ----
22/07/2026 20:25:22 (Std) 	---- Renderer module is: CEGUI::OpenGLRenderer - Official OpenGL based 2nd generation renderer module.  TextureTarget support enabled via FBO extension. ----
22/07/2026 20:25:22 (Std) 	---- XML Parser module is: CEGUI::LJXMLParser - RapidXml  based parser module for CEGUI ----
22/07/2026 20:25:22 (Std) 	---- Scripting module is: None ----
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	* -------- END OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM         -------- *
22/07/2026 20:25:22 (Std) 	********************************************************************************
22/07/2026 20:25:22 (Std) 	
22/07/2026 20:25:22 (Std) 	---- Begining CEGUI System initialisation ----
22/07/2026 20:25:22 (Std) 	CEGUI::ImagesetManager singleton created (08FC70F8)
22/07/2026 20:25:22 (Std) 	CEGUI::FontManager singleton created. (08FC6DF8)
22/07/2026 20:25:22 (Std) 	CEGUI::WindowFactoryManager singleton created
22/07/2026 20:25:22 (Std) 	CEGUI::WindowManager singleton created (09234990)
22/07/2026 20:25:22 (Std) 	CEGUI::SchemeManager singleton created. (08FC7278)
22/07/2026 20:25:22 (Std) 	CEGUI::MouseCursor singleton created. (08F70DD8)
22/07/2026 20:25:22 (Std) 	CEGUI::GlobalEventSet singleton created. (165C4F30)
22/07/2026 20:25:22 (Std) 	CEGUI::WidgetLookManager singleton created. (08F68918)
22/07/2026 20:25:22 (Std) 	CEGUI::WindowRendererManager singleton created (08F68818)
22/07/2026 20:25:22 (Std) 	CEGUI::AnimationManager singleton created (167B4BC8)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'DefaultWindow' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'DefaultWindow' windows added. (165D4BD0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'DragContainer' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'DragContainer' windows added. (165D4CA0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'ScrolledContainer' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'ScrolledContainer' windows added. (165D4C38)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'ClippedContainer' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'ClippedContainer' windows added. (165D4EA8)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Checkbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Checkbox' windows added. (165D4E40)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/PushButton' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/PushButton' windows added. (165D4F78)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/RadioButton' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/RadioButton' windows added. (165D4F10)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Combobox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Combobox' windows added. (165D5388)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ComboDropList' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ComboDropList' windows added. (165D5180)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Editbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Editbox' windows added. (165D54C0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/FrameWindow' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/FrameWindow' windows added. (165D5458)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ItemEntry' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ItemEntry' windows added. (165D4D70)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Listbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Listbox' windows added. (165D5800)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ListHeader' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ListHeader' windows added. (165D5868)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ListHeaderSegment' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ListHeaderSegment' windows added. (165D5A70)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Menubar' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Menubar' windows added. (165D5528)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (165D59A0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (165D5938)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (165D5A08)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (165D58D0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (16D4C078)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (16D4C350)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (16D4C3B8)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (16D4BA60)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (16D4BCD0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (16D4C6F8)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (16D4C148)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (16D4BAC8)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (16D4C420)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (16D4C488)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (16D4C010)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (16D4BD38)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (16D4BDA0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ItemTable' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ItemTable' windows added. (16D4C280)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ItemCell' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ItemCell' windows added. (16D4BB30)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ItemCellGeneral' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ItemCellGeneral' windows added. (16D4BE70)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/RichEditbox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/RichEditbox' windows added. (16D4C0E0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/GroupButton' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/GroupButton' windows added. (16D4C5C0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/MessageTip' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/MessageTip' windows added. (16D4BF40)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/SkillBox' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/SkillBox' windows added. (16D4C690)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/ProgressBarTwoValue' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/ProgressBarTwoValue' windows added. (16D4C1B0)
22/07/2026 20:25:22 (Std) 	Created WindowFactory for 'CEGUI/SpecialTree' windows.
22/07/2026 20:25:22 (Std) 	WindowFactory for 'CEGUI/SpecialTree' windows added. (16D4BED8)
